generation,species,id,fitness,flies_eaten,final_state,wall_gene,food_gene,snake_gene,grass_gene,water_gene
0,frog,0,1710.5549534454349,7,success,-0.8808744824532053,-0.23431814904924408,-0.2883659839708794,0.0093594369568335,0.928560191557086
0,frog,1,-10.850000000000023,2,starvation,-0.8365683129956674,-0.5672355547699441,-0.2168130292487136,-0.2943959376740457,0.333521572115951
0,frog,2,-695.65,0,wall,0.9630543806028466,0.2625474675750774,0.043645561341769,0.728696870447278,-0.5505004084365166
0,frog,3,-336.5,3,wall,0.09715803715883764,-0.7782013769982903,-0.2828758139942362,0.840076224232635,-0.07690649259597904
0,frog,4,-122.55000000000001,1,starvation,-0.44247810257502995,-0.6399532401487156,-0.3235116185353726,0.6825918106978792,-0.16082017833531803
0,frog,5,-542.65,1,wall,0.2409633141952623,-0.4380293491205023,-0.3636748432824468,0.5333746617802799,0.12616890354115728
0,frog,6,-436.45,2,wall,0.3913438199980903,-0.4332321684454239,-0.45811884005463877,0.5383380879940463,0.857599426926952
0,frog,7,165.5,6,wall,0.17204227403653993,0.9089875160914975,0.5405424083820629,-0.5129643004974367,0.7869153616598528
0,frog,8,910.05,6,alive,-0.32716697832232655,0.12875276258198332,-0.3903570823875415,0.23630466116379978,0.40359079168944656
0,frog,9,1710.05,14,alive,-0.5712200148708813,0.9326892577012542,-0.6453564383502877,0.22084468256807765,0.6849955343956424
0,frog,10,-697.65,0,wall,0.32488646791250075,-0.6787111813334241,0.4799411433412084,-0.33998688958305445,0.9796717437472735
0,frog,11,1671.8055245811152,6,success,-0.7057122713192683,0.02799356325119695,0.11175551241682502,0.09704255148062124,-0.9317451639396335
0,frog,12,-697.95,0,wall,0.8661310974649015,-0.7828127526524815,0.9712579545090576,0.9842228172745198,0.028893005185608667
0,frog,13,-340.15,3,wall,0.39083422143182633,0.5245004136105891,0.7996254155687288,-0.8910979860986394,-0.04247858582652886
0,frog,14,70.79999999999995,5,wall,0.31265052464488674,0.07837781727549431,-0.5316004986835523,-0.6812522939409347,0.4874407408354693
0,frog,15,-542.3,1,wall,0.3769703082273761,-0.47125802808304273,-0.9190789515897151,0.5313321566264082,0.849712203790232
0,frog,16,-531.55,1,wall,0.8868405044220755,-0.6004485607095487,0.8361607617913334,-0.48057246269407106,0.22112693693525776
0,frog,17,-275.0,0,starvation,-0.4923564868115331,-0.6895709727049899,-0.12338052211271844,-0.8344128793924672,-0.1189541715713982
0,frog,18,-698.4,0,wall,0.7190776497844267,0.13439839080658045,0.5655380382966824,-0.6916432597192073,-0.21710163652850079
0,frog,19,-694.1,0,wall,0.7888008918952123,-0.4068267070232585,0.7212577867280463,0.30659780908118606,-0.8609728961022278
0,snake,0,0.0,0,alive,-0.6236188033105055,0.5707450972572912,-0.04236817037868201,0.6573984042363552,-0.819601343071706
0,snake,1,0.0,0,alive,-0.8740082464475019,-0.6242700137402941,-0.12566567311622068,0.9599147300242692,-0.03707835025713746
1,frog,0,-347.4,1,eaten_by_snake,0.8117444916602814,0.30629816333970816,-0.05421348094211731,-0.22062589986766334,0.4135068348342399
1,frog,1,-234.25,4,wall,0.9437589259955148,0.47958186484572374,-0.5761440101550386,-0.1193159688219374,0.5923267742053857
1,frog,2,-533.65,1,wall,-0.04065806684133255,0.10523290121834372,0.20990580201019315,0.5559537466704259,-0.7096741769889445
1,frog,3,1432.461887881177,11,alive,-0.819756151567695,0.35649847078098396,0.2879776415134023,0.7115749674780776,-0.838531962336263
1,frog,4,-275.0,0,starvation,-0.6182514177559559,-0.36308829907379203,-0.6019989221107487,0.36753181473946994,0.2849866433291921
1,frog,5,-124.94999999999999,1,starvation,0.599376004531734,-0.5238795290806864,0.7487181841670423,-0.2645120966977059,-0.4760694727305479
