generation,species,id,fitness_or_confidence,flies_eaten_or_behavior_count,final_state_or_direction,wall_gene,food_gene,snake_gene,grass_gene,water_gene,wall_behaviors,food_behaviors,snake_behaviors,grass_behaviors,water_behaviors
0,frog,0,0,7,alive,-0.7979228721066569,-0.39798951227001833,0.33986025829218414,-0.1654099270265479,0.8163776367471405,5,5,0,112,0
0,frog,1,0,8,alive,-0.7309015545353934,0.6730803443900375,-0.7078853746490954,-0.9730769511812398,0.1813445128949973,5,5,0,0,0
0,frog,2,0,0,wall,0.24203875777268813,-0.6551481276268669,-0.9182112146729817,-0.8291297165488631,-0.06648043892987432,0,0,0,0,0
0,frog,3,0,7,alive,-0.6363728270390427,-0.4908295993578886,-0.4243333748390301,-0.6935258952910384,0.20031701195453322,5,5,2,80,0
0,frog,4,0,9,alive,-0.7895428470476717,0.810209648189133,-0.5307042926425727,0.5461629354292763,0.9519922028702228,4,5,6,36,0
0,frog,5,0,0,wall,0.9691315801785017,-0.49090009545285174,-0.9030097310919902,0.22657145464788053,-0.6661851880943594,0,0,0,29,0
0,frog,6,0,12,alive,-0.5344280000259174,0.9696271269230075,-0.21579081756190122,0.7990265051605547,0.0374162056754237,4,5,0,5,0
0,frog,7,0,4,starvation,-0.6950465780412176,-0.40824668409155107,0.7054381164743533,-0.15843094485729492,-0.28620194673933397,9,4,0,232,0
0,frog,8,0,3,wall,0.8207398801080814,0.07283456448929027,-0.3562022008859387,0.9273199858724748,0.19428364573511714,0,3,0,61,0
0,frog,9,0,7,alive,-0.3618409384419863,0.3527210108618495,-0.6796187442336337,0.4292622858437205,-0.4066844965093763,4,5,1,121,0
0,frog,10,0,0,wall,0.6558932581014076,-0.3598298051522528,0.7781670002396133,0.0940995798509836,-0.8925010151164889,0,0,0,0,0
0,frog,11,0,1,wall,0.04357531340963394,-0.23053879388291176,0.3821457084417512,-0.13696025366797882,0.22037251580805672,0,1,0,55,0
0,frog,12,0,0,wall,-0.2322184043091562,0.24191618209265564,0.4474259375230887,-0.40944613292717214,0.13146139446725535,1,0,0,86,0
0,frog,13,0,0,wall,0.8762896289962852,-0.7170561116315577,-0.23253725681269777,-0.4288612564498462,0.32574299102671467,0,0,0,0,0
0,frog,14,0,2,wall,0.9587012004228781,-0.018364236779961685,-0.7968805475617753,0.7453567038210078,-0.0043707435333397715,0,2,0,63,0
0,frog,15,0,1,wall,-0.6306173998943647,-0.345382387718163,-0.9049389156332472,0.2321091222309133,0.5014846037437748,1,1,0,0,0
0,frog,16,0,0,wall,-0.245141193994991,-0.16783399277236222,0.32495115422061316,-0.9431162006842315,0.7322134863824956,0,0,0,31,0
0,frog,17,0,0,starvation,-0.3098245162410349,-0.5346835344413119,-0.3660460838336015,-0.24852968357734473,-0.4531606087361131,0,0,0,4,0
0,frog,18,0,0,wall,0.32251782397525175,-0.7293570015343565,0.977195387887112,-0.9534133728708367,0.18308967890997518,0,0,0,0,0
0,frog,19,0,1,wall,0.10087917694162818,-0.9420089357298373,-0.09790150541493903,0.5237802611219717,-0.9181693744879016,0,1,0,105,0
0,consensus,wall_gene,1.0,38,negative,0,0,0,0,0,0,0,0,0,0
0,consensus,food_gene,0.5476190476190477,42,no_consensus,0,0,0,0,0,0,0,0,0,0
0,consensus,snake_gene,1.0,9,negative,0,0,0,0,0,0,0,0,0,0
0,consensus,grass_gene,0.5882352941176471,1020,no_consensus,0,0,0,0,0,0,0,0,0,0
0,consensus,water_gene,0,0,insufficient_data,0,0,0,0,0,0,0,0,0,0
0,snake,0,0.0,0,wall,0.26173675025751897,-0.5337537703775475,-0.9378411432014644,-0.38520760119430486,0.9626999708034785,0,0,0,0,0
0,snake,1,0.0,0,wall,0.698415260577395,-0.46489370030913335,-0.7097787261956086,-0.46188257850097525,0.24218019252279155,0,0,0,0,0
